restId,name_candidate,candidate_status,vote_count,selection_source,selected_rule
14,家乐福,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
15,百佳,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
17,好又多,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
24,香港,商家名称候选,4,票数不少于3,已接受候选中票数唯一最高
62,家乐福,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
63,苏宁,平台/线上商家候选,3,票数不少于3,已接受候选中票数唯一最高
97,三江超市,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
117,满记甜品,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
129,华联超市,商家名称候选,4,票数不少于3,已接受候选中票数唯一最高
133,西塔超市,商家名称候选,4,票数不少于3,已接受候选中票数唯一最高
134,铁百,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
136,国美,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
157,别的超市,商家名称候选,3,票数不少于3,最高票并列，按排序第一项选择
163,韩津城,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
169,家乐福,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
181,亚贸,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
196,美廉美超市,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
199,家乐福,商家名称候选,2,大语言模型：具体店名,最高票并列，按排序第一项选择
200,金源,商家名称候选,4,票数不少于3,已接受候选中票数唯一最高
202,海龙,商家名称候选,6,票数不少于3,已接受候选中票数唯一最高
212,国美,商家名称候选,4,票数不少于3,已接受候选中票数唯一最高
224,周大福,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
234,大明,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
239,国华,商家名称候选,4,票数不少于3,已接受候选中票数唯一最高
240,华堂,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
250,金源,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
273,旋转餐厅,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
287,中央电视塔旋转餐厅,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
311,伊藤,商家名称候选,4,票数不少于3,已接受候选中票数唯一最高
382,直港大道的德庄,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
408,九洲,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
415,乐购,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
418,华联吉,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
421,麦德龙,商家名称候选,5,票数不少于3,已接受候选中票数唯一最高
429,颐高,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
447,城市超市,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
451,家乐福,商家名称候选,4,票数不少于3,已接受候选中票数唯一最高
452,百安居,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
453,百安居,商家名称候选,4,票数不少于3,已接受候选中票数唯一最高
455,正大,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
493,屈臣氏,商家名称候选,4,票数不少于3,已接受候选中票数唯一最高
551,淘宝,平台/线上商家候选,3,票数不少于3,已接受候选中票数唯一最高
574,河边,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
752,三叶,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
772,七浦路,商家名称候选,4,票数不少于3,已接受候选中票数唯一最高
886,华强超市,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
918,法宝超市,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
949,轻纺市场,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
1202,屈臣氏,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
1294,屈臣氏,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
1301,回龙观,商家名称候选,4,票数不少于3,已接受候选中票数唯一最高
1352,卡玛巴西烤肉,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
1413,辛香汇,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
1726,九百,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
1899,海上海,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
2014,咖喱火锅,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
2101,沃尔玛,商家名称候选,2,大语言模型：具体店名,最高票并列，按排序第一项选择
2166,淘宝,平台/线上商家候选,2,大语言模型：平台/线上商家名,已接受候选中票数唯一最高
2230,港式火锅,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
2233,屈臣氏,商家名称候选,10,票数不少于3,已接受候选中票数唯一最高
2507,海鸥饭店,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
2528,淘宝,平台/线上商家候选,4,票数不少于3,已接受候选中票数唯一最高
2564,上海,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
2724,万宁,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
2916,淘宝,平台/线上商家候选,5,票数不少于3,已接受候选中票数唯一最高
3417,船屋,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
3639,粥底火锅,商家名称候选,5,票数不少于3,已接受候选中票数唯一最高
3720,山下,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
3765,京伦饭店,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
3800,此居,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
4031,店里,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
4339,热风,商家名称候选,5,票数不少于3,已接受候选中票数唯一最高
4404,国美,商家名称候选,5,票数不少于3,已接受候选中票数唯一最高
4412,上岛咖啡,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
4602,文峰,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
4661,乐宾,商家名称候选,5,票数不少于3,已接受候选中票数唯一最高
4732,中兴超市,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
4989,太湖饭店,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
5088,欧尚,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
5246,六福,商家名称候选,5,票数不少于3,已接受候选中票数唯一最高
5407,国际贵都大饭店,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
5559,淘宝,平台/线上商家候选,3,票数不少于3,已接受候选中票数唯一最高
5578,花园饭店,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
5580,华梅西餐厅,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
5712,国内,商家名称候选,4,票数不少于3,已接受候选中票数唯一最高
5847,王府饭店,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
6200,凡客诚品,平台/线上商家候选,18,票数不少于3,已接受候选中票数唯一最高
6695,广州,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
6724,万达,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
7055,上师大食堂,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
7219,教育超市,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
7324,童涵春,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
7496,焦糖奶茶,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
7711,城隍庙,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
7717,苏宁,平台/线上商家候选,3,票数不少于3,已接受候选中票数唯一最高
7798,窄巷子酒吧,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
7805,辣味浓浓的老妈米线火锅,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
7893,同仁堂,商家名称候选,4,票数不少于3,已接受候选中票数唯一最高
7964,龙门,商家名称候选,4,票数不少于3,已接受候选中票数唯一最高
8323,海鸥饭店,商家名称候选,7,票数不少于3,已接受候选中票数唯一最高
8545,南京饭店,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
8647,1号店,平台/线上商家候选,25,票数不少于3,已接受候选中票数唯一最高
8746,京东,平台/线上商家候选,51,票数不少于3,已接受候选中票数唯一最高
8810,小乔,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
8986,可得网,平台/线上商家候选,7,票数不少于3,已接受候选中票数唯一最高
9606,港式茶餐厅,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
9982,自动咖啡,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
10202,和其他的超市,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
10325,久光,商家名称候选,2,大语言模型：具体店名,最高票并列，按排序第一项选择
10350,北辰超市,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
10473,苏宁,平台/线上商家候选,3,票数不少于3,已接受候选中票数唯一最高
10649,热风,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
10653,满记甜品,商家名称候选,3,票数不少于3,最高票并列，按排序第一项选择
11251,同仁堂,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
11409,森林酒吧,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
11498,红星,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
11947,排队,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
12304,匡威,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
13026,国外,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
13295,御家,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
13869,沃尔玛超市,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
13933,千禧,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
14143,外面,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
14667,吉之岛,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
15186,法宝超市,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
15219,新疆饭店,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
15622,万达,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
15668,久光,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
16009,珂兰,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
16068,万宁,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
16244,运动品综合超市,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
16283,北辰,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
16321,都会,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
16458,满记甜品,商家名称候选,6,票数不少于3,已接受候选中票数唯一最高
16519,台中大甲芋头奶茶,商家名称候选,3,票数不少于3,最高票并列，按排序第一项选择
16681,11便利店,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
17008,无限度,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
17462,家为乐火锅,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
17944,屈臣氏,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
18201,船上,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
18321,淘宝,平台/线上商家候选,2,大语言模型：平台/线上商家名,已接受候选中票数唯一最高
18695,为为网,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
18851,食品超市,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
19113,牛奶咖啡,商家名称候选,2,大语言模型：具体店名,最高票并列，按排序第一项选择
19743,华联超市,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
20257,多佐料理,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
20280,百盛,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
20631,京东商城,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
22471,唯品会,商家名称候选,6,票数不少于3,已接受候选中票数唯一最高
23308,新街口南小巷内购,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
24860,星游城,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
28369,古堡酒吧,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
30987,茉莉香饭店,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
31153,友谊,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
31165,百佳超市,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
31197,楼外楼,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
31231,百佳超市,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
31232,太阳百货,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
31241,苏宁,平台/线上商家候选,3,票数不少于3,已接受候选中票数唯一最高
31259,沃尔玛,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
31263,旋转餐厅,商家名称候选,9,票数不少于3,已接受候选中票数唯一最高
31268,欧尚超市,商家名称候选,5,票数不少于3,已接受候选中票数唯一最高
31273,名典,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
31275,百脑汇,商家名称候选,4,票数不少于3,已接受候选中票数唯一最高
31276,凯旋门,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
31285,农家院,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
31314,11便利店,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
31319,物美超市,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
31322,家乐福,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
31329,宜家,商家名称候选,3,票数不少于3,最高票并列，按排序第一项选择
31337,锐意,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
31354,赛特,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
31422,太平洋,商家名称候选,4,票数不少于3,已接受候选中票数唯一最高
31535,老庙,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
31536,可的,商家名称候选,4,票数不少于3,已接受候选中票数唯一最高
31538,欧尚,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
31544,家乐福超市,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
31554,新世界,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
31557,建配龙,商家名称候选,5,票数不少于3,已接受候选中票数唯一最高
31561,城大,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
31562,世纪联华,商家名称候选,5,票数不少于3,已接受候选中票数唯一最高
31565,四川路店,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
31567,三阳,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
31568,恒隆,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
31576,城市超市,商家名称候选,7,票数不少于3,已接受候选中票数唯一最高
31578,百佳超市,商家名称候选,10,票数不少于3,已接受候选中票数唯一最高
31579,百安居,商家名称候选,5,票数不少于3,已接受候选中票数唯一最高
31629,香港,商家名称候选,4,票数不少于3,已接受候选中票数唯一最高
31630,海港城,商家名称候选,4,票数不少于3,已接受候选中票数唯一最高
31665,欧尚,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
31713,购书中心,商家名称候选,4,票数不少于3,已接受候选中票数唯一最高
31787,上海人茶餐厅,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
31873,屈臣氏,商家名称候选,5,票数不少于3,已接受候选中票数唯一最高
31922,不似酒吧,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
32008,illy咖啡,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
32019,伊藤,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
32020,什锦烧烤肉,商家名称候选,3,票数不少于3,最高票并列，按排序第一项选择
32139,伍缘,商家名称候选,4,票数不少于3,已接受候选中票数唯一最高
32208,专卖店,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
32223,0101,商家名称候选,2,大语言模型：具体店名,最高票并列，按排序第一项选择
32422,新玛特,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
32433,苏宁,平台/线上商家候选,2,大语言模型：平台/线上商家名,已接受候选中票数唯一最高
32692,家乐福,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
32728,家乐福,商家名称候选,5,票数不少于3,已接受候选中票数唯一最高
32925,南方商城,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
32957,此居,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
33104,欧尚超市,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
33437,家乐福,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
33662,韩国超市,商家名称候选,4,票数不少于3,已接受候选中票数唯一最高
33664,大润发,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
33679,迪卡侬,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
33708,楼上,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
33734,京东,平台/线上商家候选,7,票数不少于3,已接受候选中票数唯一最高
33831,山吧,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
34103,首航超市,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
34126,吉美臣,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
34469,同福,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
34498,米兰超市,商家名称候选,4,票数不少于3,已接受候选中票数唯一最高
34645,国内,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
34657,苏州,商家名称候选,9,票数不少于3,已接受候选中票数唯一最高
34705,另外烤肉,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
34775,淘宝,平台/线上商家候选,4,票数不少于3,已接受候选中票数唯一最高
34877,上海,商家名称候选,4,票数不少于3,已接受候选中票数唯一最高
35431,物美,商家名称候选,2,大语言模型：具体店名,最高票并列，按排序第一项选择
35451,大方饭店,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
35547,原因是石库门中餐厅,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
35572,四眼井,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
36198,香港,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
36303,楚灶王,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
36318,港丽餐厅,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
36324,临江楼,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
36381,很好,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
36750,楼上,商家名称候选,4,票数不少于3,已接受候选中票数唯一最高
36809,淘宝,平台/线上商家候选,2,大语言模型：平台/线上商家名,已接受候选中票数唯一最高
37085,物美超市,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
37517,苏宁,平台/线上商家候选,4,票数不少于3,已接受候选中票数唯一最高
37595,看个电影,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
37738,报刊亭,商家名称候选,4,票数不少于3,已接受候选中票数唯一最高
37769,青年餐厅,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
37843,城市超市,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
38052,西苑饭店,商家名称候选,4,票数不少于3,已接受候选中票数唯一最高
38592,万达,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
39157,华堂超市,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
39364,易买得,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
39604,同仁堂,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
39707,华普超市,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
40765,欧尚超市,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
40850,老庙,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
42163,流行美,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
42609,大润发超市,商家名称候选,9,票数不少于3,已接受候选中票数唯一最高
43542,我买网,商家名称候选,6,票数不少于3,已接受候选中票数唯一最高
43739,coco奶茶,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
43852,棒约翰,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
44079,特力屋,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
44334,万达,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
44910,淘宝,平台/线上商家候选,4,票数不少于3,已接受候选中票数唯一最高
45397,奥莱,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
45621,全家,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
45645,乌鲁木齐驻京办,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
46388,万达,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
46752,前身是时代超市,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
46804,上海,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
46958,家乐福,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
47279,聚美优品,商家名称候选,2,大语言模型：平台/线上商家名,已接受候选中票数唯一最高
47294,悠闲美地,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
48264,皇家奶茶,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
49306,淘宝,平台/线上商家候选,42,票数不少于3,已接受候选中票数唯一最高
49326,表叔茶餐厅,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
51633,喝喝咖啡,商家名称候选,4,票数不少于3,已接受候选中票数唯一最高
52388,花园饭店,商家名称候选,12,票数不少于3,已接受候选中票数唯一最高
52531,家乐福,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
53321,宽润,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
54017,高端超市,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
54552,乐购,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
54781,满记甜品,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
56479,百联虹口,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
57120,必胜客,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
58768,君度咖啡,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
58886,全家,商家名称候选,12,票数不少于3,已接受候选中票数唯一最高
59679,好又多,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
59680,麦德龙,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
59681,很齐全的一家超市,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
59682,太平洋电脑城,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
59689,龙粤,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
59692,香港,商家名称候选,5,票数不少于3,已接受候选中票数唯一最高
59723,百大,商家名称候选,5,票数不少于3,已接受候选中票数唯一最高
59770,山姆,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
59772,顺电,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
59793,百脑汇,商家名称候选,7,票数不少于3,已接受候选中票数唯一最高
59795,中兴,商家名称候选,7,票数不少于3,已接受候选中票数唯一最高
59809,金鹰,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
59817,图书大厦,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
59837,家乐福,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
59855,很大的超市,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
59857,会员超市,商家名称候选,3,票数不少于3,最高票并列，按排序第一项选择
59859,屈臣氏,商家名称候选,7,票数不少于3,已接受候选中票数唯一最高
59867,苏宁,平台/线上商家候选,6,票数不少于3,已接受候选中票数唯一最高
59882,天意,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
59887,百盛,商家名称候选,5,票数不少于3,已接受候选中票数唯一最高
59889,翠微,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
59890,楼上,商家名称候选,4,票数不少于3,已接受候选中票数唯一最高
59891,华联超市,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
59893,君太,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
59894,双安,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
59926,晋阳饭庄,商家名称候选,12,票数不少于3,已接受候选中票数唯一最高
59976,龙之梦,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
60053,福士里,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
60055,屈臣氏,商家名称候选,4,票数不少于3,已接受候选中票数唯一最高
60056,屈臣氏,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
60058,上海,商家名称候选,3,票数不少于3,最高票并列，按排序第一项选择
60060,家乐福,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
60067,周大福,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
60071,永乐,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
60073,永乐,商家名称候选,5,票数不少于3,已接受候选中票数唯一最高
60076,金盛,商家名称候选,4,票数不少于3,已接受候选中票数唯一最高
60079,书店,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
60080,百思,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
60081,太平洋,商家名称候选,2,大语言模型：具体店名,已接受候选中票数唯一最高
60089,国美,商家名称候选,6,票数不少于3,已接受候选中票数唯一最高
60093,百脑汇,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
60095,巴黎三城,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
60101,香港,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
60122,上海,商家名称候选,4,票数不少于3,已接受候选中票数唯一最高
60132,屈臣氏,商家名称候选,3,票数不少于3,已接受候选中票数唯一最高
